Compagnie;Cotation
RPC INC.;3.69
RPM INTERNATIONAL INC.;83.28
RPT REALTY;12.66
RUSH STREET INTERACTIVE;14.35
RYAN SPECIALTY GROUP HLD.;31.61
RYB EDUCATION INC. ADS;2.80
RYDER SYSTEM INC.;78.76
RYERSON HOLDING;22.75
RYMAN HOSPITALITY PROPERTIES;78.18
S&P GLOBAL INC.;436.76
SABA CAPITAL INC. & OPPORTUNITIES FUND;4.56
SABINE ROYALTY TRUST;37.95
SAFE BULKERS INC;3.93
SAFEGUARD SCIENTIFICS INC. NEW;7.60
SAFEHOLD INC.;87.90
SAILPOINT TECHNOLOGIES HLD.;46.58
SALESFORCE.COM INC;273.34
SALIENT MIDSTREAM;5.45
SALLY BEAUTY HLD.;18.50
SAN JUAN BASIN ROYALTY TRUST;4.05
SANDBRIDGE X2;9.63
SANDRIDGE ENERGY INC.;9.26
SANDSTORM GOLD;6.26
SANTANDER CONSUMER USA HLD.;41.53
SAP  SE ADS;147.43
SARATOGA INVESTMENT CORP 6.25% NOTES DU;25.00
SARATOGA INVESTMENT CORP 7.25% NOTES DU;26.17
SARATOGA INVESTMENT CORP NEW;28.10
SASOL LTD. ADS;14.74
SAUL CENTERS INC.;45.17
SCHLUMBERGER N.V.;28.21
SCHNEIDER NATIONAL INC.;22.10
SCHWEITZER-MAUDUIT INTL.;37.28
SCIENCE APPLICATIONS INTL.;83.59
SCORPIO TANKERS;24.94
SCORPIO TANKERS INC.;15.27
SCOTTS MIRACLE-GRO CO.;158.29
SCULLY ROYALTY LTD.;11.72
SCULPTOR CAPITAL MANAGEMENT;28.04
SCVX;9.90
SEA LTD.;315.16
SEABRIDGE GOLD INC.;17.40
SEACOR MARINE HLD.;4.25
SEALED AIR CORP.;60.88
SEAWORLD ENTERTAINMENT INC.;51.22
SELECT ENERGY SERVICES;5.62
SELECT MEDICAL HOLDINGS;33.09
SELECTQUOTE INC.;7.94
SEMRUSH HLD.;24.00
SENDAS DISTRIBUIDORA S A ADS;16.61
SENSATA TECHNOLOGIES HOLDING PLC;59.69
SENSIENT TECHNOLOGIES;86.07
SENTINELONE INC. CLASS A;60.09
SEQUANS COMMUNICATIONS S.A. ADS;4.99
SERITAGE GROWTH PROPERTIES CLASS A;15.58
SERVICE CORP.;62.54
SERVICENOW INC.;622.30
SERVISFIRST BANCSHARES INC.;72.60
SFL CORP.;8.09
SHAKE SHACK INC. CLASS A;86.02
SHAW COMMUNICATIONS INC.;29.23
SHELL MIDSTREAM PARTNERS L.P.;12.04
SHERWIN-WILLIAMS CO.;301.87
SHIFT4 PAYMENTS INC. CLASS A;81.66
SHINHAN FIN. GROUP CO LTD ADS;33.46
SHOPIFY;1529.81
SHUTTERSTOCK INC.;111.77
SIGNET JEWELERS LTD.;72.58
SIGNIFY HEALTH INC. CLASS A;25.98
SILVERBOW RESORCES INC.;17.26
SILVERGATE CAPITAL;109.86
SIMILARWEB;18.71
SIMON PROPERTY GROUP INC.;131.38
SIMPSON MANUFACTURING CO.;111.98
SINOPEC SHANGAI PETROCHEMICAL CO.;21.49
SIRIUSPOINT LTD.;9.83
SITE CENTERS CORP.;15.63
SITEONE LANDSCAPE SUPPLY INC.;195.73
SIX FLAGS ENTERTAINMENT;41.96
SIXTH STREET SPECIALTY LENDING;23.03
SJW GROUP;68.45
SK TELECOM CO. LTD.;27.53
SKECHERS U.S.A. INC.;49.76
SKILLSOFT;9.37
SKILLZ INC. CLASS A;10.65
SKYLINE CHAMPION;62.18
SL GREEN REALTY CORP;70.18
SM ENERGY COMPANY;17.31
SMARTRENT INC. CLASS A;11.93
SMARTSHEET INC. CLASS A;76.31
SMITH & NEPHEW SNATS INC.;38.77
SNAP INC. CLASS A;71.95
SNAP-ON INC.;225.28
SNOWFLAKE INC. CLASS A;298.08
SOCIAL CAPITAL HEDOSOPHIA HLD.;9.85
SOCIAL CAPITAL HEDOSOPHIA HLD.;9.94
SOCIEDAD QUIMICA Y MINERA S.A.;51.10
SOGOU INC. ADS;8.78
SOLARIS OILFIELD INFRA.;7.31
SOLARWINDS CORP.;17.52
SONIC AUTOMOTIVE INC.;49.86
SONOCO PRODUCTS CO.;64.78
SONY GROUP CORP.;101.99
SOS LTD.;2.58
SOURCE CAPITAL INC.;46.28
SOUTH JERSEY INDUSTRIES;26.80
SOUTH JERSEY INDUSTRIES INC.;24.61
SOUTH JERSEY INDUSTRIES INC.;53.90
SOUTHERN CO.;26.02
SOUTHERN CO.;25.30
SOUTHERN CO.;53.07
SOUTHERN CO.;26.71
SOUTHERN CO.;53.07
SOUTHERN COMPANY THE;66.14
SOUTHERN COPPER;61.09
SOUTHWEST AIRLINES CO.;50.44
SOUTHWEST GAS HLD.;68.71
SOUTHWESTERN ENERGY CO.;4.17
SPECIAL OPPORTUNITIES FUND INC;15.80
SPECTRUM BRANDS HLD.;78.97
SPIRE GLOBAL INC. CLASS A;8.98
SPIRE INC.;67.00
SPIRIT AEROSYSTEMS HLD.;40.17
SPIRIT AIRLINES INC.;24.53
SPIRIT REALTY CAPITAL INC.;50.53
SPOTIFY TECHNOLOGY S.A.;223.69
SPRAGUE RESOURCES LP;17.77
SPRINKLR INC. CLASS A;16.49
SPROTT INC.;33.62
SPX CORP.;62.76
SPX FLOW INC.;79.35
SQUARE INC. CLASS A;262.11
SQUARESPACE INC. CLASS A;44.70
SQZ BIOTECHNOLOGIES CO.;12.29
ST. JOE COMPANY THE;43.98
STAG INDUSTRIAL INC.;41.14
STANDARD MOTOR PRODUCTS INC.;42.76
STANDEX INTERNATIONAL;98.46
STANLEY BLACK & DECKER INC.;114.68
STANLEY BLACK & DECKER INC.;193.45
STANTEC INC;47.41
STAR GROUP L.P.;10.47
STAR PEAK CORP II CLASS A;9.92
STARTEK INC.;5.85
STARWOOD PROPERTY TRUST;25.64
STATE STREET CORP.;92.32
STEEL PARTNERS HLD.;31.00
STEELCASE INC.;14.04
STELLANTIS N.V.;20.12
STELLUS CAPITAL INVESTMENT;13.10
STEM INC. CLASS A;24.82
STEPAN COMPANY;115.50
STERIS PLC IRELAND;213.71
STERLING BANCORP;22.73
STEVANATO GROUP S.P.A.;26.11
STEWART INFORMATION SERVICES;61.48
STIFEL FINANCIAL;68.86
STIFEL FINANCIAL;26.15
STMICROELECTRONICS N.V.;42.87
STONE HARBOR EMERGING MARKETS INC. FUND;8.30
STONE HARBOR EMERGING MARKETS TOTAL INC;9.14
STONEMOR INC.;2.72
STONERIDGE INC.;22.66
STORE CAPITAL CORP.;35.41
STRIDE INC.;34.13
STRUCTURED PRODUCTS CORP 8.205% CORTS 8;32.44
STRUCTURES PRODUCTS CP 8% CORTS ISSUED;33.29
STRYKER CORP.;271.45
STUDIO CITY INTERNATIONAL HLD.;9.73
STURM RUGER & CO.;78.09
SUBURBAN PROPANE PARTNERS L.P.;15.20
SUMITOMO MITSUI FIN. GROUP INC UNSPONSO;6.93
SUMMIT HOTEL PROPERTIES INC.;9.07
SUMMIT MATERIALS INC. CLASS A;34.01
SUMMIT MIDSTREAM PARTNERS LP;32.90
SUN COMMUNITIES INC.;197.76
SUN LIFE FINANCIAL INC.;51.59
SUNCOKE ENERGY INC.;6.88
SUNCOR ENERGY  INC.;18.60
SUNLANDS TECHNOLOGY GROUP ADS;0.519
SUNLIGHT FINANCIAL HLD.;5.73
SUNNOVA ENERGY INTL.;35.26
SUNOCO LP;37.14
SUNSTONE HOTEL INVESTORS;11.24
SUPERIOR INDUSTRIES INTL.;7.22
SUZANO S.A. ADS EACH;11.81
SWITCH INC. CLASS A;24.35
SWITCHBACK II CORP.;9.95
SYNCHRONY FINANCIAL;50.87
SYNNEX CORP.;127.15
SYNOVUS FINANCIAL;43.28
SYNTHETIC FIXED-INC. SECURITIES;24.45
SYNTHETIC FIXED-INC. SECURITIES;20.50
SYNTHETIC FIXED-INC. SECURITIES;23.98
SYNTHETIC FIXED-INC. SECURITIES;23.79
SYNTHETIC FIXED-INC. SECURITIES INC 6.3;10.74
SYSCO CORP.;78.98
TAIWAN SEMICONDUCTOR MANUFACTURING CO.;117.17
TAKEDA PHARMACEUTICAL CO.;16.67
TAL EDUCATION GROUP ADS;4.99
TALOS ENERGY INC.;11.36
TANGER FACTORY OUTLET CENTERS;16.32
TAPESTRY INC.;41.45
TARGA RESOURCES INC.;43.77
TARGET CORP.;248.55
TARO PHARMACEUTICAL INDUSTRIES;69.80
TATA MOTORS LTD TATA MOTORS;18.91
TAYLOR MORRISON HOME;27.75
TC ENERGY CORP.;46.75
TE CONNECTIVITY;150.03
TEAM INC.;4.18
TECHNIPFMC PLC ORD.;6.62
TECK RESOURCES LTD;21.79
TEEKAY CORP.;2.94
TEEKAY LNG PARTNERS L.P.;13.82
TEEKAY TANKERS LTD.;11.21
TEGNA INC;17.40
TEJON RANCH CO;18.96
TEKLA HEALTHCARE INVESTORS;27.04
TEKLA HEALTHCARE OPPORTUNIES FUND SHARE;24.76
TEKLA WORLD HEALTHCARE FUND SHARES OF B;17.10
TEKLALIFE SCIENCES INVESTORS;22.10
TELADOC HEALTH INC.;142.33
TELECOM ARGENTINA SA;5.50
TELEDYNE TECHNOLOGIES INC.;454.92
TELEFLEX INC.;383.87
TELEFONICA BRASIL S.A. ADS EACH;8.28
TELEFONICA SA;5.01
TELEPHONE AND DATA SYSTEMS;26.85
TELEPHONE AND DATA SYSTEMS;19.78
TELEPHONE AND DATA SYSTEMS;25.27
TELEPHONE AND DATA SYSTEMS;25.49
TELEPHONE AND DATA SYSTEMS;25.82
TELUS CORP.;22.89
TELUS INTL. CDA;34.28
TEMPLETON EMERGING MARKETS FUND;17.49
TEMPUR SEALY INTL.;44.33
TENARIS S.A. ADS;19.88
TENCENT MUSIC ENTERTAINMENT GROUP ADS;8.72
TENET HEALTHCARE;72.94
TENNANT COMPANY;72.20
TENNECO INC. CLASS A VOTING;15.80
TENNESSEE VALLEY AUTHORITY;26.35
TENNESSEE VALLEY AUTHORITY;26.69
TERADATA CORP.;53.68
TEREX CORP.;51.08
TERMINIX GLOBAL HLD.;41.26
TERNIUM S.A. TERNIUM S.A. ADS EACH;54.50
TERRA INC. FUND VI 7.00% NOTES DUE 2026;25.75
TERRA PROPERTY TRUST;25.05
TERRENO REALTY CORP.;65.20
TETRA TECHNOLOGIES INC.;2.78
TEVA PHARMACEUTICAL INDUSTRIES;9.39
TEXAS PACIFIC LAND;1419.00
TEXTAINER GROUP HOLDINGS;32.45
TEXTRON INC.;72.60
TFI INTERNATIONAL INC.;111.78
THE AES CORP.;24.13
THE AES CORP.;100.14
THE AZEK CO.;42.35
THE BANK OF NEW YORK MELLON;55.61
THE BEACHBODY CO.;7.47
THE COOPER COMPANIES INC.;444.50
THE DUCKHORN PORTFOLIO INC.;21.01
THE GABELLI HEALTHCARE & WELLNESS TRUST;13.58
THE HERSHEY COMPANY;175.70
THE LION ELECTRIC CO.;12.10
THE ORIGINAL BARK CO.;7.10
THE TRAVELERS COMPANIES INC.;162.01
THERMO FISHER SCIENTIFIC INC;548.02
THERMON GROUP HLD.;16.64
THOMSON REUTERS CORP;114.64
THOR INDUSTRIES INC.;116.10
TIDEWATER;0.860
TIDEWATER;0.570
TIDEWATER INC.;10.89
TILLY S INC.;15.95
TIM S.A. ADS EACH;11.62
TIMKEN COMPANY THE;73.91
TIMKENSTEEL CORP.;13.75
TITAN INTERNATIONAL INC. DE;8.07
TJX COMPANIES INC. THE;73.78
TOLL BROTHERS INC.;62.46
TOOTSIE ROLL INDUSTRIES INC.;31.89
TOPBUILD CORP.;217.20
TORO COMPANY THE;110.57
TORONTO DOMINION BANK THE;66.96
TORRID HOLDINGS INC.;26.17
TORTOISE ENERGY INFRASTRUCTURE;26.37
TORTOISE POWER AND ENERGY INFRA. FUND I;12.85
TOTALENERGIES SE;43.90
TOWNSQUARE MEDIA INC. CLASS A;12.48
TOYOTA MOTOR CORP.;171.49
TPG PACE BENEFICIAL FINANCE;10.35
TPG PACE BENEFICIAL II;9.78
TPG PACE HOLDINGS;2.02
TPG PACE SOLUTIONS;9.90
TPG PACE TECH OPPORTUNITIES;9.98
TPG RE FINANCE TRUST INC.;12.57
TRAEGER INC.;24.76
TRANE TECHNOLOGIES PLC;198.81
TRANSALTA CORP.;9.91
TRANSCONTINENTAL REALTY INVESTORS;35.11
TRANSDIGM GROUP INC.;596.72
TRANSOCEAN LTD SWITZERLAND;3.33
TRANSPORTADORA DE GAS DEL SUR SA TGS;5.22
TRANSUNION;117.81
TRAVEL   LEISURE CO.;53.78
TRECORA RESOURCES;7.93
TREDEGAR CORP.;12.85
TREEHOUSE FOODS INC.;35.57
TREX COMPANY INC.;109.34
TRI CONTINENTAL;34.48
TRI CONTINENTAL;57.54
TRI POINTE HOMES INC.;23.61
TRINET GROUP INC.;91.85
TRINITY INDUSTRIES INC.;28.98
TRINSEO S.A.;48.53
TRIPLE-S MANAGEMENT;35.46
TRIPLEPOINT VENTURE GROWTH BDC;15.58
TRITON INTERNATIONAL;53.86
TRIUMPH GROUP INC.;17.87
TRONOX HOLDINGS PLC;20.52
TRUEBLUE INC.;26.37
TRUIST FINANCIAL;57.23
TRUIST FINANCIAL;26.15
TSAKOS ENERGY NAVIGATION LTD;7.09
TUFIN SOFTWARE TECHNOLOGIES;10.84
TUPPERWARE BRANDS;23.60
TURKCELL ILETISIM HIZMETLERI AS;4.80
TURNING POINT BRANDS INC.;50.22
TURQUOISE HILL RESOURCES;14.30
TUTOR PERINI CORP.;14.15
TUYA INC. ADS;10.04
TWILIO INC. CLASS A;353.92
TWITTER INC.;63.06
TWO CLASS A;9.68
TWO HARBORS INVESTMENT CORP;6.53
TYLER TECHNOLOGIES INC.;471.75
TYSON FOODS INC.;78.04
U.S. BANCORP;57.44
U.S. BANCORP DEPOSITARY SHARES;24.93
U.S. BANCORP DEPOSITARY SHARES;25.55
U.S. PHYSICAL THERAPY INC.;111.61
U.S. SILICA HOLDINGS INC.;8.49
U.S. XPRESS ENTERPRISES;8.71
UBER TECHNOLOGIES INC.;40.97
UBIQUITI INC.;298.88
UBS GROUP AG REGISTERED;16.82
UDR INC.;52.30
UGI CORP.;106.26
UGI CORP.;46.38
UIPATH INC. CLASS A;63.74
ULTRAPAR PARTICIPACOES S.A. NEW ADS EAC;2.84
UMH PROPERTIES INC.;22.86
UNDER ARMOUR INC. CLASS A;23.38
UNDER ARMOUR INC. CLASS C;20.25
UNIFI INC. NEW;22.08
UNIFIRST CORP.;222.23
UNILEVER PLC;55.73
UNION PACIFIC CORP.;220.50
UNISYS CORP.;23.69
UNITED MICROELECTRONICS;11.07
UNITED NATURAL FOODS INC.;34.24
UNITED PARCEL SERVICE INC.;192.68
UNITED RENTALS INC.;348.17
UNITED STATES CELLULAR;31.39
UNITED STATES CELLULAR;26.22
UNITED STATES CELLULAR;26.09
UNITED STATES CELLULAR;26.94
UNITED STATES CELLULAR;25.36
UNITED STATES STEEL;26.87
UNITEDHEALTH GROUP INC.;417.48
UNITIL CORP.;49.44
UNITY SOFTWARE INC.;122.30
UNIVAR SOLUTIONS INC.;23.72
UNIVERSAL CORP.;49.79
UNIVERSAL HEALTH REALTY INC. TRUST;58.15
UNIVERSAL HEALTH SERVICES INC.;153.58
UNIVERSAL INSURANCE HLD.;13.73
UNIVERSAL TECHNICAL INSTITUTE INC;6.98
UNUM GROUP;26.69
UNUM GROUP 6.250% JUNIOR SUBORDINATED N;27.05
UPHEALTH INC.;4.86
URBAN EDGE PROPERTIES;18.53
URSTADT BIDDLE PROPERTIES INC.;18.73
URSTADT BIDDLE PROPERTIES INC.;16.48
US FOODS HOLDING;33.83
USA COMPRESSION PARTNERS LP;14.92
USANA HEALTH SCIENCES INC.;94.98
USD PARTNERS LP;6.32
UTZ BRANDS INC CLASS A;18.58
UWM HOLDINGS CORP.;7.39
V.F. CORP.;76.20
VAALCO ENERGY INC.;2.39
VAIL RESORTS INC.;300.43
VALARIS LTD.;27.39
VALE S.A.  ADS;18.87
VALERO ENERGY CORP.;65.61
VALHI INC.;23.17
VALMONT INDUSTRIES INC.;241.79
VALVOLINE INC.;30.17
VAPOTHERM INC.;26.85
VECTOR GROUP LTD.;14.49
VECTRUS INC.;47.49
VEDANTA LTD.;15.45
VEEVA SYSTEMS INC. CLASS A;326.60
VELOCITY FINANCIAL INC.;12.84
VENATOR MATERIALS PLC;3.08
VENTAS INC.;55.12
VEONEER INC.;35.99
VEREIT INC.;49.55
VERITIV CORP.;84.19
VERIZON COMMUNICATIONS INC.;54.83
VERMILION ENERGY INC.;6.28
VERSO CORP.;18.94
VERTICAL CAPITAL INCOME FUND;10.62
VERTIV HLD.;27.72
VIA OPTRONICS AG ADS;9.16
VIAD CORP;42.78
VICI PROPERTIES INC.;29.73
VICTORIAS SECRET & CO.;68.32
VINCE HOLDING CORP.;7.23
VINE ENERGY INC. CLASS A;13.97
VIPSHOP HOLDINGS;15.08
VIRGIN GALACTIC HLD.;25.69
VIRNETX HOLDING CORP;4.34
VIRTUS ALLIANZGI ARTIFICIAL INTELLIGENC;27.40
VIRTUS ALLIANZGI CONVERTIBLE & INC. 202;10.30
VIRTUS ALLIANZGI CONVERTIBLE & INC. FUN;5.34
VIRTUS ALLIANZGI CONVERTIBLE & INC. FUN;6.09
VIRTUS ALLIANZGI DIV. INC. & CONVERTIBL;35.79
VIRTUS ALLIANZGI EQUITY & CONVERTIBLE I;30.59
VIRTUS DIVIDEND INTEREST & PREMIUM STRA;15.50
VIRTUS GLOB. MULTI-SECTOR INC. FUND;11.92
VIRTUS TOTAL RETURN FUND INC.;9.64
VISA INC.;230.67
VISHAY INTERTECHNOLOGY INC.;21.88
VISHAY PRECISION GROUP INC.;37.44
VISTA OIL & GAS S.A.B. DE C.V. ADS;4.59
VISTA OUTDOOR INC.;40.74
VISTRA;0.210
VISTRA CORP.;18.89
VIVINT SMART HOME INC.;11.67
VIZIO HOLDING;20.11
VMWARE INC.;158.18
VOC ENERGY TRUST UNITS OF BENEFICIAL IN;4.17
VOCERA COMMUNICATIONS INC.;46.58
VONTIER CORP.;35.67
VORNADO REALTY TRUST;41.26
VOYA ASIA PACIFIC HIGH DIVIDEND EQUITY;8.60
VOYA EMERGING MARKETS HIGH INC. DIVIDEN;7.58
VOYA FINANCIAL INC.;65.23
VOYA GLOB. ADVANTAGE AND PREMIUM OPPORT;10.16
VOYA GLOB. EQUITY DIVIDEND AND PREMIUM;6.10
VOYA INFRA. INDUSTRIALS AND MATERIALS F;12.82
VTEX CLASS A;25.14
VULCAN MATERIALS CO.;187.98
VY GLOBAL GROWTH CLASS A;9.70
W&T OFFSHORE INC.;3.07
W. P. CAREY INC. REIT;76.79
W.R. BERKLEY CORP.;75.80
W.R. GRACE & CO.;69.56
W.W. GRAINGER INC.;429.11
WABASH NATIONAL;15.19
WALKER & DUNLOP INC;100.98
WALMART INC.;147.64
WALT DISNEY CO.;177.07
WARBURG PINCUS CAPITAL;9.77
WARBURG PINCUS CAPITAL;9.69
WARRIOR MET COAL INC.;21.07
WASHINGTON PRIME GROUP INC.;1.36
WASHINGTON REAL ESTATE INVESTMENT TRUST;24.60
WASTE CONNECTIONS INC.;127.85
WASTE MANAGEMENT INC.;153.86
WATERDROP INC. ADS EACH;3.37
WATERS CORP.;405.02
WATSCO INC.;275.61
WATSCO INC. CLASS B;275.15
WATTS WATER TECHNOLOGIES;166.78
WAYFAIR INC. CLASS A;290.59
WEBER INC. CLASS A;16.75
WEBSTER FINANCIAL;49.98
WEC ENERGY GROUP INC.;94.82
WEIDAI LTD. ADS;0.886
WEIS MARKETS INC.;55.42
WELBILT INC.;23.39
WELLS FARGO & CO.;26.16
WELLS FARGO & CO.;49.31
WELLS FARGO & CO.;28.54
WELLS FARGO & CO.;25.95
WELLS FARGO & CO.;27.18
WELLS FARGO & CO.;25.31
WELLS FARGO GLOB. DIVIDEND OPPORTUNITY;5.88
WELLTOWER INC.;85.02
WESCO INTERNATIONAL INC.;115.93
WEST FRASER TIMBER CO. LTD;75.28
WEST PHARMACEUTICAL SERVICES;444.52
WESTERN ALLIANCE BANCORP.;97.46
WESTERN ALLIANCE BANCORP.;25.77
WESTERN ASSET BOND FUND SHARE OF BENEFI;14.58
WESTERN ASSET DIV. INC. FUND;19.86
WESTERN ASSET EMERGING MARKETS DEBT FUN;13.84
WESTERN ASSET GLOB. HIGH INC. FUND INC;10.31
WESTERN ASSET GLOBAL;18.10
WESTERN ASSET HIGH INC. FUND II;7.56
WESTERN ASSET HIGH YIELD DEFINED OPPORT;15.57
WESTERN ASSET INFLATION-LINKED INC. FUN;13.76
WESTERN ASSET INFLATION-LINKED OPPORTUN;13.20
WESTERN ASSET INTERMEDIATE MUNI FUND IN;9.74
WESTERN ASSET INVESTMENT GRADE DEFINED;21.82
WESTERN ASSET INVESTMENT GRADE INC. FUN;15.85
WESTERN ASSET MORTGAGE CAPITAL;2.81
WESTERN ASSET MORTGAGE OPPORTUNITY FUND;16.10
WESTERN MIDSTREAM PARTNERS LP;19.47
WESTERN UNION CO.;21.50
WESTINGHOUSE AIR BRAKE TECHNOLOGIES;88.00
WESTLAKE CHEMICAL;87.01
WESTLAKE CHEMICAL PARTNERS LP;25.50
WESTPAC BANKING;18.81
WESTROCK COMPANY;50.71
WESTWOOD HLD.;21.20
WEX INC.;180.43
WEYERHAEUSER COMPANY;35.10
WHEATON PRECIOUS METALS CORP;43.80
WHEELS UP EXPERIENCE;7.36
WHIRLPOOL CORP.;220.87
WHITE MOUNTAINS INSURANCE GROUP;1127.88
WHITESTONE REIT;9.70
WHITING PETROLEUM;44.83
WIDEOPENWEST INC.;20.82
WILLIAMS COMPANIES INC. THE;24.23
WILLIAMS-SONOMA INC.;188.43
WINNEBAGO INDUSTRIES INC.;72.99
WIPRO LTD.;9.01
WNS HOLDINGS LTD.;82.38
WOLVERINE WORLD WIDE INC.;35.95
WOORI FIN. GROUP;28.75
WORKIVA INC. CLASS A;138.48
WORLD FUEL SERVICES;31.60
WORLD WRESTLING ENTERTAINMENT;50.80
WORTHINGTON INDUSTRIES INC.;58.16
WPP PLC ADS;67.11
WYNDHAM HOTELS & RESORTS INC.;72.40
X FINANCIAL ADS;5.03
XAI OCTAGON FLOATING RATE & ALTERNATIVE;8.82
XENIA HOTELS & RESORTS INC.;16.95
XEROX HOLDINGS CORP.;22.65
XINYUAN REAL ESTATE CO LTD ADS;2.04
XL FLEET;6.80
XPENG INC. ADS;40.49
XPO LOGISTICS INC.;87.15
XPONENTIAL FITNESS;11.05
XYLEM INC.;133.98
YALLA GROUP LTD.;9.89
YAMANA GOLD INC.;4.35
YATSEN HOLDING LTD.;4.90
YELP INC.;38.12
YETI HOLDINGS INC.;99.60
YEXT INC.;13.02
YIREN DIGITAL;3.38
YOUDAO INC. ADS;10.52
YPF SOCIEDAD ANONIMA;4.95
YUM CHINA HOLDINGS INC.;60.47
YUM! BRANDS INC.;131.61
ZENDESK INC.;123.01
ZEPP HEALTH CORP.;10.70
ZETA GLOBAL HOLDINGS;6.55
ZEVIA PBC CLASS A;14.05
ZHANGMEN EDUCATION INC. ADS;3.02
ZHIHU INC. ADS EVERY TWO OF;9.73
ZIM INTEGRATED SHIPPING SERVICES;47.95
ZIMMER BIOMET HLD.;150.65
ZIPRECRUITER INC. CLASS A;24.36
ZOETIS INC. CLASS A;203.99
ZTO EXPRESS CAYMAN INC. ADS;26.00
ZUORA INC. CLASS A;17.50
ZYMEWORKS INC.;32.25
